ean|product_name|product_url|product_image|promotion_description|selling_price|original_price|currency|grammage_unit|rating|reviews_count|long_description|short_description|suitable_for|dimensions_value|product_id|composition_list|analytical_constituents|nutritional_additives|sensory_additives|technological_additives
76344107521|Wellness Core Complete Small Breed Adult Dry Dog Food Turkey with Chicken|https://www.petsathome.com/product/wellness-core-complete-small-breed-dry-adult-dog-food-turkey-with-chicken/7122690P|https://cdn.petsathome.com/public/images/products/900_7122690.jpg|Buy One Get Second Half Price On Selected Wellness Core Dry Dog Food|13.59||pounds||5|139|Wellness Core Small Breed Adult Original is tailored to small breed dogs' nutritional needs, supporting optimal energy and body condition with all-natural ingredients and high-quality proteins. Grain free and protein rich with fresh turkey as the first ingredient plus a unique blend of wholesome vegetables and superfoods, leaving out fillers and grains.||Small breed dogs from 12 months old|1.5kg: H38 x W20.4 x D8cm|7122690|Turkey 32% (Fresh Turkey 16%, Dehydrated Turkey 16%), Chicken 30% (Dehydrated Chicken 16%, Chicken Fat 8%, Chicken Gravy 6%), Peas 20%, Potato Protein, Beet Pulp 4%, Linseed 3%, Dried Potatoes, Salmon Oil 1%, Lignocellulose, Carrots, Apples, Yeast Extract (source of mannan - oligosaccharides) 0,5%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, Broccoli, Spinach, Tomatoes, Blueberries, Cranberries 0,01%, Dried Peppermint, D-Glucosamine Hydrochloride 100 mg/kg, Chondroitin Sulphate 100 mg/kg, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)|Protein: 36%; Crude Fibres: 4%; Crude Oils and Fats: 16%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Vitamin A 14000 IU, Vitamin D3 1000 IU, Vitamin E 120 mg, Taurine 1500 mg, Zinc (Zinc sulphate, monohydrate) 100 mg, Iron (Ferrous sulphate, monohydrate) 100 mg, Copper (Cupric sulphate, pentahydrate) 7,5 mg, Manganese (Manganous sulphate, monohydrate) 5 mg, Iodine (Calcium iodate, anhydrous) 1,5 mg|None Stated|Natural Antioxidants Bentonite (montmorillonite) 1200 mg. Enterococcus faecium NCIMB 10415, 109 cfu - Helps establish and maintain bacterial balance within the intestinal tract of dogs
76344107491|Wellness Core Complete Medium Breed Adult Dry Dog Food Turkey with Chicken|https://www.petsathome.com/product/wellness-core-complete-medium-breed-dry-adult-dog-food-turkey-with-chicken/7122687P|https://cdn.petsathome.com/public/images/products/900_7122687.jpg|Buy One Get Second Half Price On Selected Wellness Core Dry Dog Food|16.39||pounds||5|139|Wellness Core Medium Breed Adult Original is tailored to adult dog's nutritional needs, supporting optimal energy and body condition with all-natural ingredients and high-quality proteins. Grain free and protein rich with fresh turkey as the first ingredient plus a unique blend of wholesome vegetables and superfoods, leaving out fillers and grains.||Medium breed dogs over 12 months old|1.8kg: H38 x W20.4 x D8cm|7122687|Turkey 28% (Fresh Turkey 15%, Dehydrated Turkey 13%), Chicken 25% (Dehydrated Chicken 14%, Chicken Fat 6%, Chicken Gravy 5%), Peas 14%, Dried Potatoes, Potato Protein, Beet Pulp 4%, Linseed 3%, Lignocellulose, Salmon Oil 1%, Carrots, Apples, Yeast Extract (source of mannan-oligosaccharides) 0,5%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, Broccoli, Spinach, Tomatoes, Blueberries 0,01%, Cranberries, D-Glucosamine Hydrochloride 100 mg/kg, Chondroitin Sulphate 100 mg/kg, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)|Protein: 34%; Crude Fibres: 4%; Crude Oils and Fats: 16%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Vitamin A 14000 IU, Vitamin D3 1000 IU, Vitamin E 120 mg, Zinc (Zinc sulphate, monohydrate) 100 mg, Iron (Ferrous sulphate, monohydrate) 100 mg, Copper (Cupric sulphate, pentahydrate) 7,5 mg, Manganese (Manganous sulphate, monohydrate) 5 mg, Iodine (Calcium iodate, anhydrous) 1,5 mg|None Stated|Natural Antioxidants Bentonite (montmorillonite) 1200 mg. Enterococcus faecium NCIMB 10415, 109 cfu - Helps establish and maintain bacterial balance within the intestinal tract of dogs
76344108115|Wellness Core Complete Small Breed Adult Dry Dog Food Turkey with Chicken|https://www.petsathome.com/product/wellness-core-complete-small-breed-dry-adult-dog-food-turkey-with-chicken/7139002P|https://cdn.petsathome.com/public/images/products/900_7139002.jpg||one-time purchase||pounds||0||Wellness Core Small Breed Adult Original is tailored to small breed dogs' nutritional needs, supporting optimal energy and body condition with all-natural ingredients and high-quality proteins. Grain-free and protein rich with fresh turkey as the first ingredient plus a unique blend of wholesome vegetables and superfoods, leaving out fillers and grains.||Small breed dogs from 12 months old|5kg: H57 x W26.5 x D15cm|7139002|Turkey 32% (Fresh Turkey 16%, Dehydrated Turkey 16%), Chicken 30% (Dehydrated Chicken 16%, Chicken Fat 8%, Chicken Gravy 6%), Peas 20%, Potato Protein, Beet Pulp 4%, Linseed 3%, Dried Potatoes, Salmon Oil 1%, Lignocellulose, Carrots, Apples, Yeast Extract (source of mannan - oligosaccharides) 0,5%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, Broccoli, Spinach, Tomatoes, Blueberries, Cranberries 0,01%, Dried Peppermint, D-Glucosamine Hydrochloride 100 mg/kg, Chondroitin Sulphate 100 mg/kg, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)|Protein: 36%; Crude Fibres: 4%; Crude Oils and Fats: 16%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Vitamin A 14000 IU, Vitamin D3 1000 IU, Vitamin E 120 mg, Taurine 1500 mg, Zinc (Zinc sulphate, monohydrate) 100 mg, Iron (Ferrous sulphate, monohydrate) 100 mg, Copper (Cupric sulphate, pentahydrate) 7,5 mg, Manganese (Manganous sulphate, monohydrate) 5 mg, Iodine (Calcium iodate, anhydrous) 1,5 mg|None Stated|Natural Antioxidants Bentonite (montmorillonite) 1200 mg. Enterococcus faecium NCIMB 10415, 109 cfu - Helps establish and maintain bacterial balance within the intestinal tract of dogs
76344107538|Wellness Core Complete Medium Breed Adult Dry Dog Food Turkey with Chicken|https://www.petsathome.com/product/wellness-core-complete-medium-breed-dry-adult-dog-food-turkey-with-chicken/7122691P|https://cdn.petsathome.com/public/images/products/900_7122691.jpg||one-time purchase||pounds||5|139|Wellness Core Medium Breed Adult Original is tailored to adult dog's nutritional needs, supporting optimal energy and body condition with all-natural ingredients and high-quality proteins. Grain free and protein rich with fresh turkey as the first ingredient plus a unique blend of wholesome vegetables and superfoods, leaving out fillers and grains.||Medium breed dogs over 12 months old|10kg: H62 x W37 x D12cm|7122691|Turkey 28% (Fresh Turkey 15%, Dehydrated Turkey 13%), Chicken 25% (Dehydrated Chicken 14%, Chicken Fat 6%, Chicken Gravy 5%), Peas 14%, Dried Potatoes, Potato Protein, Beet Pulp 4%, Linseed 3%, Lignocellulose, Salmon Oil 1%, Carrots, Apples, Yeast Extract (source of mannan-oligosaccharides) 0,5%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, Broccoli, Spinach, Tomatoes, Blueberries 0,01%, Cranberries, D-Glucosamine Hydrochloride 100 mg/kg, Chondroitin Sulphate 100 mg/kg, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)|Protein: 34%; Crude Fibres: 4%; Crude Oils and Fats: 16%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Vitamin A 14000 IU, Vitamin D3 1000 IU, Vitamin E 120 mg, Zinc (Zinc sulphate, monohydrate) 100 mg, Iron (Ferrous sulphate, monohydrate) 100 mg, Copper (Cupric sulphate, pentahydrate) 7,5 mg, Manganese (Manganous sulphate, monohydrate) 5 mg, Iodine (Calcium iodate, anhydrous) 1,5 mg|None Stated|Natural Antioxidants Bentonite (montmorillonite) 1200 mg. Enterococcus faecium NCIMB 10415, 109 cfu - Helps establish and maintain bacterial balance within the intestinal tract of dogs
76344118572|Wellness Core 95% Wet Adult Dog Food Beef with Broccoli|https://www.petsathome.com/product/wellness-core-95-percent-wet-adult-dog-food-beef-with-broccoli/7132279P|https://cdn.petsathome.com/public/images/products/900_7132279.jpg||one-time purchase||pounds||5|7|Wellness CORE 95% Beef with Broccoli is a delicious recipe that provides a natural, complete and balanced meal: made with 95%* of beef combined with tasty veggie pieces. Grain free, single protein source and fortified with vitamins and minerals to ensure your dog has the nutrition he needs to thrive from the CORE.*95% animal origin ingredients from a single protein source.||All adult dogs over 12 months|400g: H11 x W7.5 x D7.5cm|7132279|95% Beef [66% (Hearts, Meat, Livers, Lungs), 29% Beef Broth], 3,5% Broccoli, 1% Minerals, 0,5% Sunflower Oil|Protein: 11%; Crude Fibres: 0.4%; Crude Oils and Fats: 7.3%; Crude Ash: 2.4%; Moisture: 72%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Nutritional Additives:Vitamin D3 200 IU.  Trace Elements: Zinc (Zinc sulphate, monohydrate) 25 mg, Manganese (Manganous sulphate, monohydrate) 1,4 mg, Iodine (Calcium iodate, anhydrous) 0,75 mg|None Stated|None stated
76344105398|Wellness Core Grain Free Puppy Treats Chicken|https://www.petsathome.com/product/wellness-core-puppy-trainers-treats-chicken-flavoured-with-carrots-grainfree/7146086P|https://cdn.petsathome.com/public/images/products/900_7146086.jpg||one-time purchase||pounds||5|1|Crafted with all the Wellness CORE nutrition principles in mind to create an all-natural, grain free treat. Wellness CORE Puppy Trainers Chicken flavoured with carrots are a chicken-based recipe, including guaranteed levels of DHA from salmon oil, which supports brain and eye development. Small, soft treats, perfect for fun and guilt-free training, treating and bonding moments with your growing puppy.||Puppies from weaning.|170g: H0.7 x W1.3 x D1.3cm|7146086|Chicken 26% (Dehydrated Chicken 16%, Hydrolysed Chicken Protein 6%, Chicken Fat 4%), Peas, Chickpeas, Glycerine, Tapioca Starch, Carrots 4%, Linseed 2%, Salmon Oil 2%, Beet Molasses, Dried Alfalfa, Dried Nettles, Dried Seaweed, Dried Apples, Dried Bilberries, Dried Lingonberries, Dried Blueberries, Dried Cranberries, Dried Sweet Potatoes, Dried Parsley, Dried Spirulina|Protein 19%, Crude Fibres 2.4%, Crude Oils and Fats 11%, Crude Ash 4%, Moisture Not stated|Vitamin A 7500 IU, Vitamin D3 750 IU, Vitamin E 50 mg, Iron (iron sulphate, monohydrate) 25 mg, Copper (copper sulphate, pentahydrate) 5 mg, Zinc (zinc sulphate, monohydrate) 31.3 mg, Manganese (manganese sulphate, monohydrate) 5 mg, Iodine (calcium iodate) 0.75mg, Selenium (sodium selenite) 0.1 mg|None Stated|Natural Antioxidants 120mg/kg
76344107262|Wellness Core Sterilised Adult Dry Cat Food Chicken with Turkey|https://www.petsathome.com/product/wellness-core-complete-sterilised-dry-adult-cat-food-chicken-with-turkey/7124137P|https://cdn.petsathome.com/public/images/products/900_7124137.jpg||one-time purchase||pounds||5|14|Wellness Core Sterilised Adult Original has a lower calorie content to suit sterilised and less active cats' nutritional needs, promoting healthy energy levels and lean body condition. With high quality protein ingredients in a natural, complete and balanced recipe along with a unique blend of wholesome vegetables, superfoods, botanicals and natural nutritional supplements, this nutrient-dense recipe helps support their optimum health, weight and longevity.||All adult cats over 12 months old, in particular sterilised or less active cats and for weight management|1.75kg: H38 x W20.4 x D8cm|7124137|Chicken 54% (Fresh Chicken 16%, Dried Chicken Protein 16%, Dehydrated Chicken 15%, Chicken Fat 4%, Hydrolyzed Chicken Protein 3%), Peas 15%, Dried Potatoes, Dehydrated Turkey 4%, Beet Pulp 4%, Dried Flavour, Lignocellulose, Linseed 1%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, D-Glucosamine Hydrochloride 300 mg/kg, Chondroitin Sulphate 200 mg/kg, Cranberries 0,01%, Dried Kelp, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)|Protein: 38%; Crude Fibres: 4.5%; Crude Oils and Fats: 13%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Vitamin A 30000 IU, Vitamin D3 1300 IU, Vitamin E 100 mg, Taurine 2200 mg, L-Carnitine 100 mg, Zinc (Zinc sulphate, monohydrate) 100 mg, Iron (Ferrous sulphate, monohydrate) 100 mg, Manganese (Manganous sulphate, monohydrate) 7,5 mg, Copper (Cupric sulphate, pentahydrate) 5 mg, Iodine (Calcium iodate, anhydrous) 1,5 mg|None Stated|Natural Antioxidants Bentonite (montmorillonite) 4500 mg. Enterococcus faecium NCIMB 10415, 109 cfu - Helps establish and maintain bacterial balance within the intestinal tract of cats
76344108320|Wellness Core Sterilised Adult Dry Cat Food Chicken & Turkey|https://www.petsathome.com/product/wellness-core-complete-original-sterilised-dry-adult-cat-food-chicken-and-turkey/7141715P|https://cdn.petsathome.com/public/images/products/900_7141715.jpg||one-time purchase||pounds||0||Wellness Core Sterilised Adult Original has a lower calorie content to suit sterilised and less active cats' nutritional needs, promoting healthy energy levels and lean body condition. With high quality protein ingredients in a natural, complete and balanced recipe along with a unique blend of wholesome vegetables, superfoods, botanicals and natural nutritional supplements, this nutrient-dense recipe helps support their optimum health, weight and longevity.||All adult cats over 12 months old, in particular sterilised or less active cats and for weight management|4kg: H52 x W26.5 x D11.5cm|7141715|Chicken 54% (Fresh Chicken 16%, Dried Chicken Protein 16%, Dehydrated Chicken 15%, Chicken Fat 4%, Hydrolyzed Chicken Protein 3%), Peas 15%, Dried Potatoes, Dehydrated Turkey 4%, Beet Pulp 4%, Dried Flavour, Lignocellulose, Linseed 1%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, D-Glucosamine Hydrochloride 300 mg/kg, Chondroitin Sulphate 200 mg/kg, Cranberries 0,01%, Dried Kelp, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)|Protein: 38%; Crude Fibres: 4.5%; Crude Oils and Fats: 13%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Vitamin A 30000 IU, Vitamin D3 1300 IU, Vitamin E 100 mg, Taurine 2200 mg, L-Carnitine 100 mg, Zinc (Zinc sulphate, monohydrate) 100 mg, Iron (Ferrous sulphate, monohydrate) 100 mg, Manganese (Manganous sulphate, monohydrate) 7,5 mg, Copper (Cupric sulphate, pentahydrate) 5 mg, Iodine (Calcium iodate, anhydrous) 1,5 mg|None Stated|Natural Antioxidants Bentonite (montmorillonite) 4500 mg. Enterococcus faecium NCIMB 10415, 109 cfu - Helps establish and maintain bacterial balance within the intestinal tract of cats
76344116639|Wellness Core Tender Cuts Adult Wet Cat Food Salmon & Tuna|https://www.petsathome.com/product/wellness-core-tender-cuts-in-savoury-gravy-cat-food-salmon-and-tuna/7124148P|https://cdn.petsathome.com/public/images/products/900_7124148.jpg||one-time purchase||pounds||5|2|With taste in mind but health at heart: Wellness CORE Tenders Cuts with Salmon and Tuna in Savoury Gravy are grain free natural slow cooked tender cuts of poultry combined with healthy veggies and fruits served in savoury sauces that deliver an irresistible taste. Tender Cuts are complete and balanced meals with a range of protein-rich recipes to keep mealtime tasty and tender, savoury, saucy and fresh to please even the most finicky of eaters.||All adult cats over 12 months|85g: H14 x W9.5 x D2.8cm|7124148|Chicken Broth, Chicken 19%, Salmon 6%, Tuna 6%, Potato Starch, Eggs, Carrots 3%, Chicken Liver, Minerals, Cranberries, Blueberries, White Sweet Potatoes|Protein: 7%; Crude Fibres: 0.1%; Crude Oils and Fats: 0.54%; Crude Ash: 1.4%; Moisture: 80%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Nutritional Additives:Taurine 1540 mg, Vitamin A 14,240 IU, Vitamin D3 420 IU, Vitamin E 64 mg.  Trace Elements: Zinc chelate of amino acids, hydrate 113 mg, Ferrous chelate of amino acids, hydrate 77 mg, Manganese chelate of amino acids, hydrate 27 mg, Cupric chelate of amino acids, hydrate 18 mg, Potassium Iodide 0,2 mg, Sodium Selenite 0,065 mg|None Stated|None stated
64992523206|ACANA Small Breed Adult Dry Dog Food with Chicken Turkey & Fish|https://www.petsathome.com/product/acana-complete-small-breed-dry-adult-dog-food-chicken-turkey-and-fish/P71194|https://cdn.petsathome.com/public/images/products/3000_P71194.jpg||one-time purchase||pounds||5|2|Small-breed dogs have the same nutritional requirements as larger dogs. This means they need a diet that is rich and varied in whole animal ingredients, in order to get the protein and nutrients they require for peak health. ACANA Small Breed is loaded with chicken and raw flounder, with the added nutrition of eggs, delivering everything your small-breed dog needs in order to stay happy, healthy, and strong.||Small breed adult dogs aged 1+ years.||P71194|Fresh chicken (14%), chicken meal (14%), whole red lentils, whole green peas, whole chickpeas, turkey meal (6.5%), chicken fat (6%), fresh chicken giblets (liver, heart) (4%), fresh egg (4%), raw hake (4%), fish oil (4%), herring meal (3%), whole green lentils, whole yellow peas, lentil fibre, pea starch, raw turkey liver (0.5%), salt, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole carrots, fresh whole apples, fresh whole pears, fresh whole zucchini, dried chicory root, fresh kale, fresh spinach, fresh turnip greens, fresh beet greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips.|Protein: 31%; Crude Fibres: 5%; Crude Oils and Fats: 15%; Crude Ash: 7.5%; Moisture: 12%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|3a890 Choline chloride (choline): 700 mg, 3b612 (Zinc: 75 mg), 3b407 (Copper: 11mg), 3a821 Vitamin B1: 50mg, 3a825i Vitamin B2: 10mg, 3a314 Niacin: 100 mg, 3a841 Calcium-D-pantothenate: 30mg, 3a831 Vitamin B6: 17.5mg, 3a316 Folic Acid: 3.5mg, 3a835 Vitamin B12: 0.1mg, 3a672a Vitamin A: 5625 IU, 3a671 Vitamin D3: 750 IU, 3a700 Vitamin E: 450 IU, 3a300 Ascorbic Acid: 0.15 mg. Zootechnical additives: 4b1707 Enterococcus faecium DSM 10663/NCIMB 10415: 1 x 109 CFU.|Rosemary extract: 80mg.|1b306(i) Tocopherol extracts from vegetable oils: 121mg, 1a330 citric acid: 40mg.
64992525200|ACANA Adult Dry Dog Food with Chicken Turkey & Fish|https://www.petsathome.com/product/acana-complete-dry-adult-dog-food-chicken-turkey-and-fish/P71195|https://cdn.petsathome.com/public/images/products/3000_P71195.jpg||one-time purchase||pounds||5|5|Your dog is descended from the grey wolf and requires the same protein-rich diet in order to support peak health. Featuring chicken, raw flounder, and eggs that are delivered to their kitchen fresh or raw*, ACANA Adult Dog is packed with the protein and nutrients your dog needs. ACANA delivers nutrients naturally, in their most nourishing form, keeping your dog happy, healthy, and strong. In WholePrey ratios of meat, organs, and bone, ACANA delivers nutrients naturally, in their most nourishing form, keeping your dog happy, healthy and strong, with no artificial colours, flavours or preservatives added in our kitchens.||Adult dogs aged 1+ years.||P71195|Fresh chicken (13%), chicken meal (13%), whole red lentils, whole green peas, whole chickpeas, fresh chicken giblets (liver, heart) (6.5%), turkey meal (6.5%), chicken fat (6%), fresh eggs (4%), raw hake (4%), lentil fibre, pea starch, fish oil (3%), whole green lentils, whole yellow peas, herring meal (3%), raw turkey livers (1%), salt, dried kelp, fresh whole apples, fresh whole butternut squash, fresh whole carrots, fresh whole pears, fresh whole pumpkin, fresh whole zucchini, dried chicory root, fresh beet greens, fresh kale, fresh spinach, fresh turnip greens, whole blueberries, whole cranberries, whole saskatoon berries, burdock root, lavender, marshmallow root, milk thistle, rosehips, turmeric.|Protein: 29%; Crude Fibres: 5%; Crude Oils and Fats: 17%; Crude Ash: 7%; Moisture: 12%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|3a890 Choline chloride (choline): 700 mg, 3b612 (Zinc: 75 mg), 3b407 (Copper: 11mg), 3a821 Vitamin B1: 100mg, 3a825i Vitamin B2: 20mg, 3a314 Niacin: 200 mg, 3a841 Calcium-D-pantothenate: 60mg, 3a831 Vitamin B6: 35mg, 3a316 Folic Acid: 7mg, 3a835 Vitamin B12: 0.2 mg, 3a672a Vitamin A: 5625 IU, 3a671 Vitamin D3: 750 IU, 3a700 Vitamin E: 450 IU, 3a300 Ascorbic Acid: 0.15 mg. Zootechnical additives: Zootechnical additives: 4b1707 Enterococcus faecium DSM 10663/NCIMB 10415: 1 x 109 CFU.|Rosemary extract: 80mg.|1b306(i) Tocopherol extracts from vegetable oils: 121mg, 1a330 citric acid: 40mg.
64992523602|ACANA Small Breed Adult Dry Dog Food with Chicken Turkey & Fish|https://www.petsathome.com/product/acana-complete-small-breed-dry-adult-dog-food-chicken-turkey-and-fish/P71194|https://cdn.petsathome.com/public/images/products/3000_P71194.jpg||one-time purchase||pounds||5|2|Small-breed dogs have the same nutritional requirements as larger dogs. This means they need a diet that is rich and varied in whole animal ingredients, in order to get the protein and nutrients they require for peak health. ACANA Small Breed is loaded with chicken and raw flounder, with the added nutrition of eggs, delivering everything your small-breed dog needs in order to stay happy, healthy, and strong.||Small breed adult dogs aged 1+ years.||P71194|Fresh chicken (14%), chicken meal (14%), whole red lentils, whole green peas, whole chickpeas, turkey meal (6.5%), chicken fat (6%), fresh chicken giblets (liver, heart) (4%), fresh egg (4%), raw hake (4%), fish oil (4%), herring meal (3%), whole green lentils, whole yellow peas, lentil fibre, pea starch, raw turkey liver (0.5%), salt, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole carrots, fresh whole apples, fresh whole pears, fresh whole zucchini, dried chicory root, fresh kale, fresh spinach, fresh turnip greens, fresh beet greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips.|Protein: 31%; Crude Fibres: 5%; Crude Oils and Fats: 15%; Crude Ash: 7.5%; Moisture: 12%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|3a890 Choline chloride (choline): 700 mg, 3b612 (Zinc: 75 mg), 3b407 (Copper: 11mg), 3a821 Vitamin B1: 50mg, 3a825i Vitamin B2: 10mg, 3a314 Niacin: 100 mg, 3a841 Calcium-D-pantothenate: 30mg, 3a831 Vitamin B6: 17.5mg, 3a316 Folic Acid: 3.5mg, 3a835 Vitamin B12: 0.1mg, 3a672a Vitamin A: 5625 IU, 3a671 Vitamin D3: 750 IU, 3a700 Vitamin E: 450 IU, 3a300 Ascorbic Acid: 0.15 mg. Zootechnical additives: 4b1707 Enterococcus faecium DSM 10663/NCIMB 10415: 1 x 109 CFU.|Rosemary extract: 80mg.|1b306(i) Tocopherol extracts from vegetable oils: 121mg, 1a330 citric acid: 40mg.
64992525118|ACANA Adult Dry Dog Food with Chicken Turkey & Fish|https://www.petsathome.com/product/acana-complete-dry-adult-dog-food-chicken-turkey-and-fish/P71195|https://cdn.petsathome.com/public/images/products/3000_P71195.jpg||one-time purchase||pounds||5|5|Your dog is descended from the grey wolf and requires the same protein-rich diet in order to support peak health. Featuring chicken, raw flounder, and eggs that are delivered to their kitchen fresh or raw*, ACANA Adult Dog is packed with the protein and nutrients your dog needs. ACANA delivers nutrients naturally, in their most nourishing form, keeping your dog happy, healthy, and strong. In WholePrey ratios of meat, organs, and bone, ACANA delivers nutrients naturally, in their most nourishing form, keeping your dog happy, healthy and strong, with no artificial colours, flavours or preservatives added in our kitchens.||Adult dogs aged 1+ years.||P71195|Fresh chicken (13%), chicken meal (13%), whole red lentils, whole green peas, whole chickpeas, fresh chicken giblets (liver, heart) (6.5%), turkey meal (6.5%), chicken fat (6%), fresh eggs (4%), raw hake (4%), lentil fibre, pea starch, fish oil (3%), whole green lentils, whole yellow peas, herring meal (3%), raw turkey livers (1%), salt, dried kelp, fresh whole apples, fresh whole butternut squash, fresh whole carrots, fresh whole pears, fresh whole pumpkin, fresh whole zucchini, dried chicory root, fresh beet greens, fresh kale, fresh spinach, fresh turnip greens, whole blueberries, whole cranberries, whole saskatoon berries, burdock root, lavender, marshmallow root, milk thistle, rosehips, turmeric.|Protein: 29%; Crude Fibres: 5%; Crude Oils and Fats: 17%; Crude Ash: 7%; Moisture: 12%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|3a890 Choline chloride (choline): 700 mg, 3b612 (Zinc: 75 mg), 3b407 (Copper: 11mg), 3a821 Vitamin B1: 100mg, 3a825i Vitamin B2: 20mg, 3a314 Niacin: 200 mg, 3a841 Calcium-D-pantothenate: 60mg, 3a831 Vitamin B6: 35mg, 3a316 Folic Acid: 7mg, 3a835 Vitamin B12: 0.2 mg, 3a672a Vitamin A: 5625 IU, 3a671 Vitamin D3: 750 IU, 3a700 Vitamin E: 450 IU, 3a300 Ascorbic Acid: 0.15 mg. Zootechnical additives: Zootechnical additives: 4b1707 Enterococcus faecium DSM 10663/NCIMB 10415: 1 x 109 CFU.|Rosemary extract: 80mg.|1b306(i) Tocopherol extracts from vegetable oils: 121mg, 1a330 citric acid: 40mg.
